"Predmet","Tip","Nastavnik","Grupe","Dan","Termin","Učionica"
"Objektno orijentisano programiranje","Laboratorijske vezbe","Stojanovic Vukoman","101","  PET  ","12:15-14","U7"
"Objektno orijentisano programiranje","Vezbe","Tomic Milan","101","  PET  ","16:15-18","U7"
"Matematicka analiza","Predavanja","Jovanovic Irena","101, 102","  PET  ","14:15-16","U6"
"Engleski 2","Predavanja","Cuk Bojana","101, 102","     UTO     ","16:15-18","U1"
"Pismeno i usmeno izrazavanje","Predavanja","Markovic Mirjana","101, 102","   ČET   ","09:15-11","U6"
"Diskretne strukture","Predavanja","Jovanovic Irena","101, 102","   ČET   ","12:15-14","U1"
"Diskretne strukture","Vezbe","Jerotijevic Marija","101, 102","     UTO     ","18:15-21","U1"
"Matematicka analiza","Vezbe","Jerotijevic Marija","101, 102, 103, 104","    SRE    ","8:15-11","Kolarac"
"Objektno orijentisano programiranje","Predavanja","Dimic Surla Bojana","101, 102, 103, 104","    SRE    ","11:15-13","Kolarac"
"Objektno orijentisano programiranje","Vezbe","Tomic Milan","102","   ČET   ","14:15-16","U4"
"Objektno orijentisano programiranje","Laboratorijske vezbe","Burgic Stefan","102","  PET  ","16:15-18","U4"
"Objektno orijentisano programiranje","Laboratorijske vezbe","Vignjevic Mihailo","103","     UTO     ","16:15-18","U7"
"Objektno orijentisano programiranje","Vezbe","Stancic Aleksandar","103","     UTO     ","18:15-20","U7"
"Matematicka analiza","Predavanja","Jovanovic Irena","103, 104","      PON      ","19:15-21","U1"
"Engleski 2","Predavanja","Cuk Bojana","103, 104","   ČET   ","14:15-16","U1"
"Pismeno i usmeno izrazavanje","Predavanja","Markovic Mirjana","103, 104","      PON      ","17:15-19","U1"
"Diskretne strukture","Vezbe","Jerotijevic Marija","103, 104","  PET  ","16:15-19","U1"
"Diskretne strukture","Predavanja","Jovanovic Irena","103, 104","   ČET   ","16:15-18","U6"
"Objektno orijentisano programiranje","Laboratorijske vezbe","Sekularac Nemanja","104","   ČET   ","19:15-21","U7"
"Objektno orijentisano programiranje","Vezbe","Stancic Aleksandar","104","  PET  ","14:15-16","U7"
"Objektno orijentisano programiranje","Laboratorijske vezbe","Ivanovic Marina","105","      PON      ","16:15-18","U5"
"Objektno orijentisano programiranje","Vezbe","Burgic Stefan","105","   ČET   ","13:15-15","U5"
"Matematicka analiza","Vezbe","Jerotijevic Marija","105, 106","    SRE    ","11:15-14","U6"
"Matematicka analiza","Predavanja","Jovanovic Irena","105, 106","  PET  ","09:15-11","U6"
"Objektno orijentisano programiranje","Predavanja","Dimic Surla Bojana","105, 106","      PON      ","13:15-15","U1"
"Engleski 2","Predavanja","Cuk Bojana","105, 106","   ČET   ","16:15-18","U1"
